	LEV
شو وضع الناس الي بتغيّب مني ولساتهم لابدين بقائمة الاصدقاء عندي شو بتوصفهم	LEV
كيفك يا صديقي شو اخبارك مشتاقين	LEV
  تعا علوش انت بتحب الشغلات الروشة متل هي يا بتاع الموسيقى غذاء الروح ومدري شو 	LEV
شو احتمال اخد  بالماس 	LEV
 باتلفيد  - شو صار لو نزل الباتش التحديث نازل بكره 	LEV
شو مناسبة هالحديث لطفاً كمال بلاه هالحكي   	LEV
اربع ايام عطله شو الدلع هاظ 	LEV
اه والله يعني انا اخذت يوم اجازه بديش اقول اني ضليت فيها عالسلم اعسف حيطان وادهن  وعملت حالي مبسوطه بالاجازه	LEV
شو صاير مع عم يكون الماكياج بالمرة من فترة	LEV
ما بحكيلك انه جيد وحسملكمباراة الموسم بس ليش هالانتقادات طلعت هسا لانوما بتقدر تحكي عن طرد را 	LEV
شو اخبارك و كيف الكل	LEV
لا هدول سهلين بس احيانا بيكون ما عاطين بالمسألة شي الواحد لوحدو يدور علوزن الذاتي للمادةوقوت الريح بالم 	LEV
كل شخص مو سوري وبيحكي با الشأن السوري وبيطالب بتنحي الرئيس الأسد بقلو يا اخو الشرمو انت شو دخلك شأن سوري انت شو دخل امك بين السوريين	LEV
كم شبيح وظفتو  من هاالنوعيه  وكم سعودي فصلتو 	LEV
والله اللي بشوفكم هسا ما بشوفكم قبل شهر  بس الحلو بالموضوع انه بضل اساسي وبنضل نس 	LEV
  تلحس وتمص وتشرب وتاكل من هون  	LEV
بلش يحمس لعيبته والجمهور من الحين هالمدرب داهيه	LEV
صباح الخير ؛ انا هالفترة مابعرف شو عم اعمول بس الله يوفقني 	LEV
هلقيت كانت عندك وطنية  صرت بتعزها للبنت و بتعز كل البنت مش عارف كيف اوصفك	LEV
فيروز - شايف البحر شو كبير 	LEV
كلى هوي شو حماره  دخيل الله الدين عّم بيخر من راسك	LEV
بلكي تهب الدنيا ألوان  وما يبقى للعتمه مكان 	LEV
  فوق ما مسكرين الطرقات عالشعب  للي رايح عشغله  او جامعته او حتى عالمستشفى لا وكمان عم تأرغلو لك شو هالقلية الاحسا 	LEV
حبها متل ما هي  مش متل ما بدك ياها تكون 	LEV
الشب بروح عل  كرمال يعمل عضلات ويقدر يحمل البنت والبنت بتروح عل  كرمال تضعف للشب يقدر يحملا 	LEV
  طمني دكتور  شو عندي عندك خازوقيميا شو يعني دكتور يعني إرتفاع نسبة الخوازيق بالحياة	LEV
  أنا لا بعرف كمّل ب علاقة ولا بعرف ضُب مصاري  أنا مدري شو راح تكون نهايتي 	LEV
كسم الصيف شو انه مقرف 	LEV
شو بيقصد رذوذ فسريلي  	LEV
  كل شخص مو سوري وبيحكي با الشأن السوري وبيطالب بتنحي الرئيس الأسد بقلو يا اخو الشرمو انت شو دخلك شأن سوري انت شو دخل امك	LEV
  شو عم يعملوا بكل هل الإرهابيين اللي عم يلقطوهم	LEV
منيح انك اقتنعت 	LEV
اساسي مو لانه منيح اساسي لانه فريقك يحب يجامل ولما تشوف مشجعين فريقك بطبلو حتى على ا 	LEV
  شو اللي صار - ربي صقر 	LEV
صباحو شو شو في عندي بالشغل  	LEV
لا لا مشان الله	LEV
البارحة بعد اجتماعه والرئيس بري ادلى الرئيس الحريري بتصريح وأجاب على أسئلة وحياة ربي مافهمت شو بدًو	LEV
جزيرة امواج أصغر من حارتنا مو كورنيش	LEV
شو فيك حبيبي	LEV
يخرب بيت عيونك يا عاليا شو حلوين 	LEV
المشكلة حارتنا بسالفة الجماهير ضبطو الاوقات و الايام ويا راسكم عقب احتشرو  حتى لو جماهيريه بس اكييد الأغلبية صعب عليهم	LEV
لازم ماركيغير كلمة بم تفكر    ويحط مكانها شو سارق اليوم ياكبير  	LEV
صرفتوا اقل  بس تنافسون ع شو  الدوري فقط  طلعتوا من الابطال و الكاس و الفرق بيننا وبينكم  نقاط	LEV
يسعدلي صباحكم  اعادة نشر الكليب  اللي ما شاف الكليب ليكو الرابط بأول تعليق لا تنسوا تشتركوا بالقناة 	LEV
  التويتر هون لفش الخلق لا اكثر ولا اقل	LEV
يخرب بيتك شو هالرشاقه 	LEV
بجنون شو بحبك انا بجنون‍️	LEV
شو بتدرس ليش انت 	LEV
تعرف شو احلى شغلة فيك هي انك من ارض البطوله فلسطين	LEV
لا يا رفيق بدنا إياك قوي شو ارهقتنيانت فش حدا بيقدر يرهقك	LEV
  بدي ابلش الصبح هاد بشي جديد يعني تغيير روتين قبل ما اداوم بس مش عارفة شو بدي اعمل	LEV
شو يعني وطنية الوطن اليوم سلعة في مزاد علني لمن يدفع أكثر يا أهل الوطنية	LEV
شو هيدا الهبل	LEV
  صباحو اللى بدو يشوفنى كام يفوت على الشات تبعى من هون  زوجه مطلقه  ريتويت 	LEV
 يشكون من الاتصالات ما حدا بيرد على تليفون السفارة اذا بدك حضرتك تلفن وشوف لانو رح نعمل فيديو ونفضحهم بس شاطرين بياخذو	LEV
 الي يحب كنزة من قلبه مش كمغنية اختارها يدعمها في الحلوة والمرة يهتم باعمالها ويفرح لفرحها ويحزن لحزنها اما	LEV
تسنيم شو  رأيك ترجعيلي الهايلايتر الأصفر الي لطشتي لما  كنت عم تعلمي كوتاتك	LEV
شو مين ماخذة  رجل من  بروم مقنطر بال  ساماريوم	LEV
أخدت الصدفة عبيتي  صدفة الأردني الكويتي  صدفة أبصر شو أبصر شو  من زمان	LEV
  ️ المايسوه العتب ماسمعه كلمة ليش  ماحطله اهتمام ومنتهي امره ولا اكله شـعجب شو مختلف وياي  ماغزر ملح شتغزر الع 	LEV
مريام هاتي برج العقرب بشوف شو يقول 	LEV
عمبمشي بالسوق ولا زلمة كبير بوقف صاحبو و باشر عمطعم و بقلو ترا دير بالك هاظ المطعم عندو سندويشات بتخوف 	LEV
  لا اله الا الله شو هالاجرام هيدا  يا رب دخيلك القتل اسهل عليها يا ويلن من الله كفرة  ايمتى ا	LEV
كالعادة تعصب بدون وعي او ادراك متل ما بدك محرز افضل لاعب بالعالم بشهادة الجميع	LEV
شو تخصّصك بالجامعة كوِزّات 	LEV
ه بديش اقولكو ايش كان اسمي عشان البرستيج  ه	LEV
  بقلك تم تسجيل  مخالفة على شركات الحج والعمرة  هذا شركات حج وعمرة هيك شو وضع شركات السياحة والنغنغة والبرطعة  الاردن	LEV
صورة من بيتلحم الان شبيبة الختيار على عهد الاسرى  اضرابالكرامه  نيسان  ابووطن	LEV
والله بالليل منصحصح والصبح منموت من النعس شو ذنبنا بهالعطل البيولوجي	LEV
السلام عليكم ورحمة الله وبركاته  شو أفضل المصاعد زين أوريناد أو غيرها 	LEV
شو هالاخبار عند الصبح	LEV
  اح محرومه بدي فحل يفوت شات من هون  ثلاثينيه مزيونه  اختى 	LEV
يعني يا عيب الشوم انو ما تسمى المعارضة عم تئول انو هي وراء تفجيرات قرب مطار دمشق يعني تصل الوقاحة انهم يفتخروا بتدمير بلدهم بأمر من اسيادهم	LEV
  كذبك حلو  شو حلو لما كنت شي كذبة بحياتك	LEV
قلبي وجعني   شو هل يووم	LEV
على قلبك يا رب  وانت شو غداك	LEV
اكبر بابقه شو هاد 	LEV
شو حابه اصمم لك حبيبتي من تصاميم الصيف 	LEV
  صباح ا المحنه دبه بدي هايج جاد يفوت هون  منحرفه دبه  متعه 	LEV
كل ما وعينا بنتعب وكل ما اكتشفنا شو عمل المشرع في الاحوالالشخصية نكتشف مشاكل اوقع اسر اردنية بتاهات عجزت قرارات محاكم عن حلها بسبقول	LEV
  بكونو مجموعة شباب قاعدين باميركا و رواق بقوم يروحو ع كهف بآخر ما عمر الله عشان يكتشفوه و يعملو مغامرة طيب خرجكن يطلع وحش	LEV
اربع نسوان ألله محلل اوكي بس بشرط العدل اعدل اول مع الأولىقول لزوجتك بدي اتزوج التانيه اذا شافت هالشي ظلم إلها بدك تنسى الموضوع من أساسو	LEV
معاك موبايل حديث ماشاء الله و باقة نت و بتشاهد برامج التوك شو من الدش و بتحمل صورك بأحدث موضة ملابس و من إماكن 	LEV
مين يبي دلق كرمال الويكند 	LEV
عقبال ما نسمع انفجار بلقصر يخلصنا من هل حيوان الأسد يلي دمر البلد مشان كرسي	LEV
اذا بتحب شخص بتشوفو بالحلم  بتكره شخص بتشوفو بالحقيقة  شو هالمسخرة وقفولي الكرة الأرضية بدي أنزل نكته خميس مشمنطق 	LEV
شو يطلع لك	LEV
صباح الخير  شو وضع الطرقات اليوم 	LEV
  صباح الخيراحتاج منكم مساعدة ف الافكاري ابا افتح مشروع ف محافظه البريمي خاص بالنساء بس م عارفه شو ممكن افتح أخاف م يمشي ممكن	LEV
  ذابحني الشوق  ويسألوني شو فيك  وارد واقول  لا ولا شي كل الحكايه اشتقت له  - قروبودعتجرحك زهرةاللوتسللدعم	LEV
  احيانًا بتحس بدك راس  مش راسمال  	LEV
  كارولسماحة  اسمعنى اسمعني شو بدي قول قدام الدنيي كلها راح خلي كل الناس تعرف أخباري كلها قلن يا حبيبي قلن هي اللي 	LEV
صباحو صباحو ختيار  عالاكيد مهزومين 	LEV
مو بدك الحيوان اللي بسورية ينقلع ويضبوه بالاول	LEV
  البنات  شو الامتحان  زفت من  الشباب  شو الامتحان  تفجير  من لا إحساس ولا ضمير واخر شي هو ضابط وهي تبيع فطاير ب	LEV
